dt,samples,final_top_absolute_difference,final_bottom_absolute_difference
0.4,76,4.001586217383668e-05,6.22692622060661e-05
0.2,151,1.711375274715543e-05,2.6451302289773326e-05
0.1,301,5.698706610823834e-06,8.77822656369931e-06
